epoch, batch, loss, loss_e, e_mae, e/N_mae
    1,   105,          0.03133,          0.03133,           5.4902,          0.17157
    1,   106,         0.099712,         0.099712,           8.8749,          0.27734
    1,   107,         0.068804,         0.068804,            7.271,          0.22722
    1,   108,        0.0096834,        0.0096834,           3.1175,         0.097423
    1,   109,         0.004575,         0.004575,           1.3991,         0.043721
    1,   110,         0.013398,         0.013398,           3.1305,         0.097828
    1,   111,        0.0027322,        0.0027322,           1.3444,         0.042014
    1,   112,         0.022382,         0.022382,            4.397,          0.13741
    1,   113,        0.0067514,        0.0067514,           1.5268,         0.047712
    1,   114,        0.0051619,        0.0051619,           1.9556,         0.061114
    1,   115,        0.0023965,        0.0023965,           1.3452,         0.042038
    1,   116,         0.040461,         0.040461,           5.3917,          0.16849
    1,   117,         0.024638,         0.024638,           4.0495,          0.12655
    1,   118,         0.030428,         0.030428,           3.5173,          0.10992
    1,   119,         0.022251,         0.022251,           4.0979,          0.12806
    1,   120,         0.021998,         0.021998,           4.1757,          0.13049
    1,   121,         0.025358,         0.025358,           4.7039,            0.147
    1,   122,         0.018552,         0.018552,           3.8373,          0.11992
    1,   123,         0.020297,         0.020297,           4.3772,          0.13679
    1,   124,         0.037268,         0.037268,           4.8677,          0.15212
    1,   125,        0.0091659,        0.0091659,           2.3827,          0.07446
    1,   126,         0.032951,         0.032951,           5.7348,          0.17921
    1,   127,         0.027284,         0.027284,           5.1204,          0.16001
    1,   128,         0.030852,         0.030852,           5.0172,          0.15679
    1,   129,          0.10119,          0.10119,           8.2323,          0.25726
    1,   130,         0.034861,         0.034861,           5.7674,          0.18023
    1,   131,         0.028871,         0.028871,            4.744,          0.14825
    1,   132,          0.02927,          0.02927,           5.2744,          0.16482
    1,   133,         0.018596,         0.018596,           3.8497,           0.1203
    1,   134,          0.01514,          0.01514,            3.637,          0.11366
    1,   135,         0.021712,         0.021712,           4.3879,          0.13712
    1,   136,         0.016886,         0.016886,            3.998,          0.12494
    1,   137,        0.0028584,        0.0028584,           1.3874,         0.043357
    1,   138,         0.017673,         0.017673,           3.6864,           0.1152
    1,   139,         0.019166,         0.019166,           3.5769,          0.11178
    1,   140,          0.01032,          0.01032,           2.4493,          0.07654
    1,   141,        0.0012934,        0.0012934,           0.9123,         0.028509
    1,   142,         0.026562,         0.026562,           3.3239,          0.10387
    1,   143,         0.044144,         0.044144,           4.7199,           0.1475
